Time [s],crank,cam,Channel 2
2.190795500,0,0,0
2.197317000,1,0,0
2.202541000,1,0,1
2.222435500,0,0,1
2.228998000,0,1,1
2.233868500,1,1,1
2.255899000,0,1,1
2.264393500,1,1,1
2.276328500,0,1,1
2.283583500,1,1,1
2.294633000,0,1,1
2.301925500,1,1,1
2.315087500,0,1,1
2.323529500,1,1,1
2.339711500,1,1,0
2.346275500,0,1,0
2.352341000,0,0,0
2.356933500,1,0,0
2.363846500,1,0,1
2.383976500,0,0,1
2.390061000,0,1,1
2.395670000,1,1,1
2.417221500,1,0,1
2.418112000,0,0,1
2.422350500,1,0,1
2.425450500,0,0,1
2.427684500,0,1,1
2.431581500,1,1,1
2.438038000,0,1,1
2.444548000,1,1,1
2.455601000,0,1,1
2.462635000,1,1,1
2.474922500,0,1,1
2.483054000,1,1,1
2.496493000,1,1,0
2.507654500,0,1,0
2.520067000,1,1,0
2.532198500,0,1,0
2.534295000,0,1,1
2.558489000,1,1,1
2.566801500,0,1,1
2.584780000,1,1,1
2.593429000,0,1,1
2.617058000,1,1,1
2.631817500,0,1,1
2.655502000,1,1,1
2.672821500,0,1,1
2.688108000,1,1,1
2.719817500,0,1,1
2.733043500,1,1,1
2.797556500,0,1,1
2.880255000,1,1,1
2.908814000,0,1,1
3.808597500,1,1,1
3.828387500,0,1,1
3.849835000,1,1,1
3.895741500,0,1,1
3.910463000,1,1,1
3.937512000,1,1,0
3.947557500,0,1,0
3.956124000,0,0,0
3.961749500,1,0,0
3.973086000,1,0,1
3.999527000,0,0,1
4.008128000,0,1,1
4.013727000,1,1,1
4.042387000,0,1,1
4.051699500,1,1,1
4.065881000,0,1,1
4.073670000,1,1,1
4.086949500,0,1,1
4.094930000,1,1,1
4.111415500,0,1,1
4.121334000,1,1,1
4.139545000,1,1,0
4.148358000,0,1,0
4.154186000,0,0,0
4.160237500,1,0,0
4.166724500,1,0,1
4.188872000,0,0,1
4.195845000,0,1,1
4.201189000,1,1,1
4.225809000,0,1,1
4.230408000,1,1,1
4.233747500,0,1,1
4.240257000,1,1,1
4.247337500,0,1,1
4.254142500,1,1,1
4.266455500,0,1,1
4.273889000,1,1,1
4.287805000,0,1,1
4.296580000,1,1,1
4.312915000,1,1,0
4.320188000,0,1,0
4.325982500,0,0,0
4.331145000,1,0,0
4.337879500,1,0,1
4.358916500,0,0,1
4.365325000,0,1,1
4.370918000,1,1,1
4.393645000,0,1,1
4.402247000,1,1,1
4.414473500,0,1,1
4.421804000,1,1,1
4.433187500,0,1,1
4.440593000,1,1,1
4.454188000,0,1,1
4.462818500,1,1,1
4.479829000,1,1,0
4.486254000,0,1,0
4.492679000,0,0,0
4.496967000,1,0,0
4.504448000,1,0,1
4.524791000,0,0,1
4.531135500,0,1,1
4.536616500,1,1,1
4.558260500,1,0,1
4.559172000,0,0,1
4.563385500,1,0,1
4.566493500,0,0,1
4.568718500,0,1,1
4.572627500,1,1,1
4.579068500,0,1,1
4.585565000,1,1,1
4.596642500,0,1,1
4.603719500,1,1,1
4.615990000,0,1,1
4.624134500,1,1,1
4.637757500,1,1,0
4.646143000,0,1,0
4.651215500,0,0,0
4.658021000,1,0,0
4.663425000,1,0,1
4.683936000,0,0,1
4.690401500,0,1,1
4.695830500,1,1,1
4.718584500,0,1,1
4.727057000,1,1,1
4.738284000,0,1,1
4.745340500,1,1,1
4.755502000,0,1,1
4.762515500,1,1,1
4.774088500,0,1,1
4.781835000,1,1,1
4.792797500,1,1,0
4.800918000,0,1,0
4.807656500,0,0,0
4.811901500,1,0,0
4.818501000,1,0,1
4.838239000,0,0,1
4.844589500,0,1,1
4.849662500,1,1,1
4.871772500,0,1,1
4.876023500,1,1,1
4.879176500,0,1,1
4.885395000,1,1,1
4.892010500,0,1,1
4.898590500,1,1,1
4.910054000,0,1,1
4.917234000,1,1,1
4.930051500,0,1,1
4.938364500,1,1,1
4.952021000,1,1,0
4.960638000,0,1,0
4.965449500,0,0,0
4.972073000,1,0,0
4.977306500,1,0,1
4.997480000,0,0,1
5.003989000,0,1,1
5.009019500,1,1,1
5.031302000,0,1,1
5.039834000,1,1,1
5.051944500,0,1,1
5.059211000,1,1,1
5.070465500,0,1,1
5.077789500,1,1,1
5.091276500,0,1,1
5.099844000,1,1,1
5.116706000,1,1,0
5.123036500,0,1,0
5.129383500,0,0,0
5.133735500,1,0,0
5.140856000,1,0,1
5.161100500,0,0,1
5.167327500,0,1,1
5.172866500,1,1,1
5.194369500,1,0,1
5.195249500,0,0,1
5.199480000,1,0,1
5.202590500,0,0,1
5.204845000,0,1,1
5.208732000,1,1,1
5.215175500,0,1,1
5.221681500,1,1,1
5.232788000,0,1,1
5.239876500,1,1,1
5.252220500,0,1,1
5.260390500,1,1,1
5.274390000,1,1,0
5.282606000,0,1,0
5.287716000,0,0,0
5.294387500,1,0,0
5.299880500,1,0,1
5.320255000,0,0,1
5.326797500,0,1,1
5.332157000,1,1,1
5.354926000,0,1,1
5.363402000,1,1,1
5.374665000,0,1,1
5.381724500,1,1,1
5.391934000,0,1,1
5.398924500,1,1,1
5.410592500,0,1,1
5.418354000,1,1,1
5.429549500,1,1,0
5.437695000,0,1,0
5.444397500,0,0,0
5.448711500,1,0,0
5.455320000,1,0,1
5.474908500,0,0,1
5.481295500,0,1,1
5.486369500,1,1,1
5.508656500,0,1,1
5.512934000,1,1,1
5.516101500,0,1,1
5.522347500,1,1,1
5.528985500,0,1,1
5.535557500,1,1,1
5.547116000,0,1,1
5.554291500,1,1,1
5.567279500,0,1,1
5.575680000,1,1,1
5.589924500,1,1,0
5.598167000,0,1,0
5.603208000,0,0,0
5.609390000,1,0,0
5.615051000,1,0,1
5.635300500,0,0,1
5.641729500,0,1,1
5.646985500,1,1,1
5.669453000,0,1,1
5.678044500,1,1,1
5.690129500,0,1,1
5.697429500,1,1,1
5.708608000,0,1,1
5.715939500,1,1,1
5.729340000,0,1,1
5.737880000,1,1,1
5.754709500,1,1,0
5.760967500,0,1,0
5.767420000,0,0,0
5.771620000,1,0,0
5.778893500,1,0,1
5.798994000,0,0,1
5.805238000,0,1,1
5.810732500,1,1,1
5.832364000,1,0,1
5.833183000,0,0,1
5.837413000,1,0,1
5.840528000,0,0,1
5.842826000,0,1,1
5.846701500,1,1,1
5.853174500,0,1,1
5.859696000,1,1,1
5.870877000,0,1,1
5.877988000,1,1,1
5.890482000,0,1,1
5.898716500,1,1,1
5.913277500,1,1,0
5.921062500,0,1,0
5.926451000,0,0,0
5.932508000,1,0,0
5.938535500,1,0,1
5.959072000,0,0,1
5.965489000,0,1,1
5.971046000,1,1,1
5.993765000,0,1,1
6.002264000,1,1,1
6.013475500,0,1,1
6.020555000,1,1,1
6.030694000,0,1,1
6.037690000,1,1,1
6.049271500,0,1,1
6.056988000,1,1,1
6.068101000,1,1,0
6.076111500,0,1,0
6.083025000,0,0,0
6.087076500,1,0,0
6.093863000,1,0,1
6.113492000,0,0,1
6.119934500,0,1,1
6.125002500,1,1,1
6.147236500,0,1,1
6.151515500,1,1,1
6.154681000,0,1,1
6.160918500,1,1,1
6.167575000,0,1,1
6.174173500,1,1,1
6.185746000,0,1,1
6.192958500,1,1,1
6.206005500,0,1,1
6.214432500,1,1,1
6.229033000,1,1,0
6.237039500,0,1,0
6.242240500,0,0,0
6.248140500,1,0,0
6.254073500,1,0,1
6.275796000,0,0,1
6.283092000,0,1,1
6.288587000,1,1,1
6.314435000,0,1,1
6.323342500,1,1,1
6.336108000,0,1,1
6.343529500,1,1,1
6.355221000,0,1,1
6.362681500,1,1,1
6.376671500,0,1,1
6.385434500,1,1,1
6.405292000,1,1,0
6.423508000,0,1,0
6.427032500,0,1,1
6.458357500,1,1,1
6.467663500,0,1,1
6.488257000,1,1,1
6.497657500,0,1,1
6.525528500,1,1,1
6.545803000,0,1,1
6.559728000,1,1,1
6.577096500,0,1,1
6.596441000,1,1,1
6.637774500,0,1,1
6.654229500,1,1,1
6.768006500,0,1,1
6.811499500,1,1,1
8.273054500,0,1,1
8.296987000,1,1,1
8.350347500,0,1,1
8.365445500,1,1,1
8.393839000,1,1,0
8.403769000,0,1,0
8.412875500,0,0,0
8.417881500,1,0,0
8.429607000,1,0,1
8.455374000,0,0,1
8.463868500,0,1,1
8.469202500,1,1,1
8.497259500,1,0,1
8.498268000,0,0,1
8.503696000,1,0,1
8.507601500,0,0,1
8.510421500,0,1,1
8.514939000,1,1,1
8.523664500,0,1,1
8.531353500,1,1,1
8.547277000,0,1,1
8.556082000,1,1,1
8.577984500,0,1,1
8.589534000,1,1,1
8.608830500,1,1,0
8.616891000,0,1,0
8.623472000,0,0,0
8.628807500,1,0,0
8.637039000,1,0,1
8.659586500,0,0,1
8.666987000,0,1,1
8.672335000,1,1,1
8.697051500,0,1,1
8.705669500,1,1,1
8.717345000,0,1,1
8.724529500,1,1,1
8.734974000,0,1,1
8.742035000,1,1,1
8.753960000,0,1,1
8.761795500,1,1,1
8.773376000,1,1,0
8.782177000,0,1,0
8.788806500,0,0,0
8.793734000,1,0,0
8.800397500,1,0,1
8.820556500,0,0,1
8.827583000,0,1,1
8.832144500,1,1,1
8.854992000,0,1,1
8.859298500,1,1,1
8.862502500,0,1,1
8.868770000,1,1,1
8.875474000,0,1,1
8.882076500,1,1,1
