Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
1.725619250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.727225000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.728843500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.730443750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.732084250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.733705500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.735354250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.737008750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.738716750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.740409750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.742111250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744270500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744270750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744275750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744276000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744279000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744279250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744282500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744282750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744284000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744284250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744287500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744288500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744289000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744289250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744290000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744290750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744291500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744292250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744293000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744293250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744293750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744294250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744295000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744295250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744296000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744296500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744296750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744297250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744297750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744298000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744298500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744299000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744299500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744299750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744300000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744300500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744300750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744301000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744301500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744302000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744302250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744302500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744302750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744303250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744303500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744303750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744304250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744304500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744304750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744305000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744305250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744305750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744306000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744306250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744306500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744307000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744307500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744307750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744308000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744308250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744308750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744309000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744309250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744309500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744309750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744310000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744310250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744310500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744310750000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744311250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744311500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744311750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744312000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744312250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744312500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744312750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744313000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744313250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744313500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744313750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744314000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744314250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744314500000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744314750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744315000000000, 1, 1, 1, 1, 1, 1, 1, 1
1.744318000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.744318250000000, 1, 1, 1, 1, 1, 1, 1, 1
1.747505500000000, 1, 0, 1, 1, 1, 1, 1, 1
1.752954750000000, 1, 1, 1, 1, 1, 1, 1, 1
